project,loc,category,mechanism,api,owner,detail
0x0B-unity-vr_room,0x0B-unity-vr_room/Assets/Scripts/BlueTrigger.cs:10:10:10:15,Lifecycle-Driven State Flows,GameLogic,Update,BlueTrigger,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
0x0B-unity-vr_room,0x0B-unity-vr_room/Assets/Scripts/BlueTrigger.cs:22:10:22:23,Lifecycle-Driven State Flows,Physics,OnTriggerEnter,BlueTrigger,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
0x0B-unity-vr_room,0x0B-unity-vr_room/Assets/Scripts/BlueTrigger.cs:28:10:28:22,Lifecycle-Driven State Flows,Physics,OnTriggerExit,BlueTrigger,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
0x0B-unity-vr_room,0x0B-unity-vr_room/Assets/Scripts/GreenTrigger.cs:10:10:10:15,Lifecycle-Driven State Flows,GameLogic,Update,GreenTrigger,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
0x0B-unity-vr_room,0x0B-unity-vr_room/Assets/Scripts/GreenTrigger.cs:22:10:22:23,Lifecycle-Driven State Flows,Physics,OnTriggerEnter,GreenTrigger,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
0x0B-unity-vr_room,0x0B-unity-vr_room/Assets/Scripts/GreenTrigger.cs:28:10:28:22,Lifecycle-Driven State Flows,Physics,OnTriggerExit,GreenTrigger,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
0x0B-unity-vr_room,0x0B-unity-vr_room/Assets/Scripts/KnightTrigger.cs:9:10:9:23,Lifecycle-Driven State Flows,Physics,OnTriggerEnter,KnightTrigger,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
0x0B-unity-vr_room,0x0B-unity-vr_room/Assets/Scripts/KnightTrigger.cs:17:10:17:22,Lifecycle-Driven State Flows,Physics,OnTriggerExit,KnightTrigger,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
0x0B-unity-vr_room,0x0B-unity-vr_room/Assets/Scripts/OpenDoor.cs:12:10:12:15,Lifecycle-Driven State Flows,GameLogic,Update,OpenDoor,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
0x0B-unity-vr_room,0x0B-unity-vr_room/Assets/Scripts/OpenDoor.cs:16:13:16:70,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OpenDoor,callback=character_nearby; target name unresolvable (UnityEngine types unavailable)
0x0B-unity-vr_room,0x0B-unity-vr_room/Assets/Scripts/OpenDoor.cs:22:13:22:71,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OpenDoor,callback=character_nearby; target name unresolvable (UnityEngine types unavailable)
0x0B-unity-vr_room,0x0B-unity-vr_room/Assets/Scripts/OpenSecondDoor.cs:10:10:10:15,Lifecycle-Driven State Flows,GameLogic,Update,OpenSecondDoor,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
0x0B-unity-vr_room,0x0B-unity-vr_room/Assets/Scripts/OpenSecondDoor.cs:14:13:14:70,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OpenSecondDoor,callback=character_nearby; target name unresolvable (UnityEngine types unavailable)
0x0B-unity-vr_room,0x0B-unity-vr_room/Assets/Scripts/OpenSecondDoor.cs:18:13:18:71,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OpenSecondDoor,callback=character_nearby; target name unresolvable (UnityEngine types unavailable)
0x0B-unity-vr_room,0x0B-unity-vr_room/Assets/Scripts/PawnTrigger.cs:9:10:9:23,Lifecycle-Driven State Flows,Physics,OnTriggerEnter,PawnTrigger,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
0x0B-unity-vr_room,0x0B-unity-vr_room/Assets/Scripts/PawnTrigger.cs:17:10:17:22,Lifecycle-Driven State Flows,Physics,OnTriggerExit,PawnTrigger,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
0x0B-unity-vr_room,0x0B-unity-vr_room/Assets/Scripts/PhysicsButton.cs:17:10:17:14,Lifecycle-Driven State Flows,Initialization,Start,PhysicsButton,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
0x0B-unity-vr_room,0x0B-unity-vr_room/Assets/Scripts/PhysicsButton.cs:23:10:23:15,Lifecycle-Driven State Flows,GameLogic,Update,PhysicsButton,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
0x0B-unity-vr_room,0x0B-unity-vr_room/Assets/Scripts/PhysicsButton.cs:45:9:45:28,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,PhysicsButton,callback=Pressed; target name unresolvable (UnityEngine types unavailable)
0x0B-unity-vr_room,0x0B-unity-vr_room/Assets/Scripts/PhysicsButton.cs:52:9:52:29,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,PhysicsButton,callback=Released; target name unresolvable (UnityEngine types unavailable)
0x0B-unity-vr_room,0x0B-unity-vr_room/Assets/Scripts/RedTrigger.cs:10:10:10:15,Lifecycle-Driven State Flows,GameLogic,Update,RedTrigger,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
0x0B-unity-vr_room,0x0B-unity-vr_room/Assets/Scripts/RedTrigger.cs:22:10:22:23,Lifecycle-Driven State Flows,Physics,OnTriggerEnter,RedTrigger,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
0x0B-unity-vr_room,0x0B-unity-vr_room/Assets/Scripts/RedTrigger.cs:28:10:28:22,Lifecycle-Driven State Flows,Physics,OnTriggerExit,RedTrigger,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
0x0B-unity-vr_room,0x0B-unity-vr_room/Assets/Scripts/RookTrigger.cs:9:10:9:23,Lifecycle-Driven State Flows,Physics,OnTriggerEnter,RookTrigger,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
0x0B-unity-vr_room,0x0B-unity-vr_room/Assets/Scripts/RookTrigger.cs:17:10:17:22,Lifecycle-Driven State Flows,Physics,OnTriggerExit,RookTrigger,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scenes/Scripts/TestScript.cs:15:7:15:11,Lifecycle-Driven State Flows,Initialization,Start,TestScript,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scenes/Scripts/TestScript.cs:21:7:21:12,Lifecycle-Driven State Flows,GameLogic,Update,TestScript,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/AmbienceEmitter.cs:35:7:35:11,Lifecycle-Driven State Flows,Initialization,Awake,AmbienceEmitter,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/AmbienceEmitter.cs:55:7:55:12,Lifecycle-Driven State Flows,GameLogic,Update,AmbienceEmitter,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/AmbienceEmitter.cs:73:14:73:27,Lifecycle-Driven State Flows,Physics,OnTriggerEnter,AmbienceEmitter,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/AudioManager.cs:118:7:118:11,Lifecycle-Driven State Flows,Initialization,Awake,AudioManager,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/AudioManager.cs:127:7:127:15,Lifecycle-Driven State Flows,DecommissionOrApplication,OnDestroy,AudioManager,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/AudioManager.cs:184:7:184:12,Lifecycle-Driven State Flows,GameLogic,Update,AudioManager,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/AudioManager.cs:250:35:250:67,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManager,callback=AudioManager; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/AudioManager.cs:253:5:253:75,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManager,callback=[ERROR] AudioManager object missing from hierarchy!; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/AudioManager_Sound.cs:76:4:76:90,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManager,callback=[AudioManager] Missing AudioListener object!  Add one to the scene.; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/AudioManager_Sound.cs:85:24:85:61,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManager,callback=__SoundEmitters__; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/AudioManager_Sound.cs:134:5:134:121,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManager,callback=[AudioManager] ERROR: playingEmitters list had a null emitter! Something nuked a sound emitter!!!; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/AudioManager_Sound.cs:142:7:142:104,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManager,callback=[AudioManager] ERROR: playing sound emitter already in the free emitters list!; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/AudioManager_Sound.cs:208:3:208:54,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManager,callback=[AudioManager] OnPreSceneLoad cleanup; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/AudioManager_Sound.cs:763:5:763:107,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManager,callback=[AudioManager] can't call BlendWithCurrentSnapshot if the audio mixer is not set!; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/AudioManagerInspector.cs:84:35:84:83,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManagerInspector,callback=makePersistent; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/AudioManagerInspector.cs:85:35:85:91,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManagerInspector,callback=enableSpatializedAudio; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/AudioManagerInspector.cs:86:35:86:98,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManagerInspector,callback=enableSpatializedFastOverride; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/AudioManagerInspector.cs:87:35:87:79,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManagerInspector,callback=audioMixer; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/AudioManagerInspector.cs:88:35:88:86,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManagerInspector,callback=defaultMixerGroup; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/AudioManagerInspector.cs:89:35:89:87,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManagerInspector,callback=reservedMixerGroup; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/AudioManagerInspector.cs:90:35:90:88,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManagerInspector,callback=voiceChatMixerGroup; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/AudioManagerInspector.cs:91:35:91:83,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManagerInspector,callback=verboseLogging; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/AudioManagerInspector.cs:92:35:92:85,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManagerInspector,callback=maxSoundEmitters; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/AudioManagerInspector.cs:93:35:93:82,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManagerInspector,callback=volumeSoundFX; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/AudioManagerInspector.cs:94:35:94:84,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManagerInspector,callback=soundFxFadeSecs; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/AudioManagerInspector.cs:95:35:95:92,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManagerInspector,callback=audioMinFallOffDistance; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/AudioManagerInspector.cs:96:35:96:92,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManagerInspector,callback=audioMaxFallOffDistance; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/AudioManagerInspector.cs:113:41:113:89,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManagerInspector,callback=soundGroupings; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/AudioManagerInspector.cs:118:27:118:67,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManagerInspector,callback=name; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/AudioManagerInspector.cs:121:35:121:81,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManagerInspector,callback=mixerGroup; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/AudioManagerInspector.cs:123:36:123:88,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManagerInspector,callback=maxPlayingSounds; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/AudioManagerInspector.cs:126:36:126:88,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManagerInspector,callback=maxPlayingSounds; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/AudioManagerInspector.cs:128:25:128:78,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManagerInspector,callback=playingSoundCount; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/AudioManagerInspector.cs:132:35:132:83,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManagerInspector,callback=preloadAudio; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/AudioManagerInspector.cs:133:35:133:85,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManagerInspector,callback=volumeOverride; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/AudioManagerInspector.cs:135:5:135:111,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManagerInspector,"callback=With a volumeOverride of 0.0, these sounds will not play!; target name unresolvable (UnityEngine types unavailable)"
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/AudioManagerInspector.cs:288:9:288:58,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManagerInspector,callback=Sort; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/AudioManagerInspector.cs:317:3:317:216,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManagerInspector,callback=Create and delete sound groups by clicking + and - respectively.  Double click to rename sound groups.  Drag and drop sounds from below to the groups above to move them.; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/AudioManagerInspector.cs:392:42:392:90,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManagerInspector,callback=soundGroupings; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/AudioManagerInspector.cs:394:35:394:80,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManagerInspector,callback=soundList; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/AudioManagerInspector.cs:404:37:404:87,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManagerInspector,callback=visibilityToggle; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/AudioManagerInspector.cs:407:28:407:65,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManagerInspector,callback=name; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/AudioManagerInspector.cs:412:12:412:88,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManagerInspector,callback=?; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/AudioManagerInspector.cs:425:12:425:82,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManagerInspector,callback=Delete FX; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/AudioManagerInspector.cs:430:12:430:85,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManagerInspector,callback=Duplicate FX; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/AudioManagerInspector.cs:450:5:450:37,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManagerInspector,callback= ; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/AudioManagerInspector.cs:456:9:456:60,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManagerInspector,callback=Add FX; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/AudioManagerInspector.cs:461:9:461:58,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManagerInspector,callback=Sort; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/AudioManagerInspector.cs:494:29:494:84,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManagerInspector,callback=name; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/AudioManagerInspector.cs:134:9:134:59,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,AudioManagerInspector,callback=volumeOverride; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/MinMaxPropertyDrawer.cs:34:23:34:27,Lifecycle-Driven State Flows,UIInput,OnGUI,MinMaxPropertyDrawer,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/MinMaxPropertyDrawer.cs:36:28:36:63,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,MinMaxPropertyDrawer,callback=x; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/MinMaxPropertyDrawer.cs:37:28:37:63,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,MinMaxPropertyDrawer,callback=y; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/MixerSnapshotPropertyDrawer.cs:18:23:18:27,Lifecycle-Driven State Flows,UIInput,OnGUI,MixerSnapshotPropertyDrawer,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/MixerSnapshotPropertyDrawer.cs:39:37:39:79,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,MixerSnapshotPropertyDrawer,callback=snapshot; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/MixerSnapshotPropertyDrawer.cs:40:38:40:86,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,MixerSnapshotPropertyDrawer,callback=transitionTime; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/OSPPropsPropertyDrawer.cs:29:23:29:27,Lifecycle-Driven State Flows,UIInput,OnGUI,OSPPropsPropertyDrawer,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/OSPPropsPropertyDrawer.cs:30:50:30:98,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OSPPropsPropertyDrawer,callback=enableSpatialization; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/OSPPropsPropertyDrawer.cs:56:50:56:98,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,OSPPropsPropertyDrawer,callback=enableSpatialization; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/SoundFXPropertyDrawer.cs:27:23:27:27,Lifecycle-Driven State Flows,UIInput,OnGUI,SoundFXPropertyDrawer,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/SoundFXPropertyDrawer.cs:35:38:35:81,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,SoundFXPropertyDrawer,callback=reverbZoneMix; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/SoundFXPropertyDrawer.cs:37:10:37:62,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,SoundFXPropertyDrawer,callback=Reset; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/SoundFXPropertyDrawer.cs:46:38:46:86,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,SoundFXPropertyDrawer,callback=volumeFalloffCurve; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/SoundFXRefPropertyDrawer.cs:25:23:25:27,Lifecycle-Driven State Flows,UIInput,OnGUI,SoundFXRefPropertyDrawer,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/Editor/SoundFXRefPropertyDrawer.cs:31:33:31:74,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,SoundFXRefPropertyDrawer,callback=soundFXName; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/SoundEmitter.cs:78:7:78:11,Lifecycle-Driven State Flows,Initialization,Awake,SoundEmitter,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Audio/SoundEmitter.cs:234:4:234:107,Asynchronous Invocation Flows,UnresolvedStringCallback,UnresolvedUnityStringAPI,SoundEmitter,callback=[SoundEmitter] You must detach the sound emitter before parenting to another object!; target name unresolvable (UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Utils/Editor/DrawerInspectorNote.cs:9:23:9:27,Lifecycle-Driven State Flows,UIInput,OnGUI,DrawerInspectorNote,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
5A-Prototype-VR,5A-Prototype-VR/Assets/Oculus/AudioManager/Scripts/Utils/Editor/DrawerInspectorNote.cs:48:23:48:27,Lifecycle-Driven State Flows,UIInput,OnGUI,DrawerInspectorComment,MonoBehaviour callback declaration (name-based; UnityEngine types unavailable)
